Gender	Reference period	Province	Population	Age Group	Births	Deaths	Migration Effect
Women	2016	Northwest Territories	1253	1 to 4 years			
Women	2016	Nova Scotia	16694	1 to 4 years			
Women	2016	Nunavut	1733	1 to 4 years			
Women	2016	Ontario	282947	1 to 4 years			
Women	2016	Prince Edward Island	2845	1 to 4 years			
Women	2016	Quebec	174568	1 to 4 years			
Women	2016	Saskatchewan	29746	1 to 4 years			
Women	2016	Yukon	846	1 to 4 years			
Women	2017	Alberta	108227	1 to 4 years			
Women	2017	British Columbia	89940	1 to 4 years			
Women	2017	Manitoba	33247	1 to 4 years			
Women	2017	New Brunswick	13754	1 to 4 years			
Women	2017	Newfoundland and Labrador	8807	1 to 4 years			
Women	2017	Northwest Territories	1266	1 to 4 years			
Women	2017	Nova Scotia	16866	1 to 4 years			
Women	2017	Nunavut	1700	1 to 4 years			
Women	2017	Ontario	283070	1 to 4 years			
Women	2017	Prince Edward Island	2855	1 to 4 years			
Women	2017	Quebec	174542	1 to 4 years			
Women	2017	Saskatchewan	30225	1 to 4 years			
Women	2017	Yukon	851	1 to 4 years			
Women	2018	Alberta	108361	1 to 4 years			
Women	2018	British Columbia	90434	1 to 4 years			
Women	2018	Manitoba	33322	1 to 4 years			
Women	2018	New Brunswick	13828	1 to 4 years			
Women	2018	Newfoundland and Labrador	8727	1 to 4 years			
Women	2018	Northwest Territories	1208	1 to 4 years			
Women	2018	Nova Scotia	16961	1 to 4 years			
Women	2018	Nunavut	1700	1 to 4 years			
Women	2018	Ontario	284928	1 to 4 years			
Women	2018	Prince Edward Island	2867	1 to 4 years			
Women	2018	Quebec	174507	1 to 4 years			
Women	2018	Saskatchewan	30298	1 to 4 years			
Women	2018	Yukon	891	1 to 4 years			
Women	2019	Alberta	107808	1 to 4 years			
Women	2019	British Columbia	90977	1 to 4 years			
Women	2019	Manitoba	33462	1 to 4 years			
Women	2019	New Brunswick	13802	1 to 4 years			
Women	2019	Newfoundland and Labrador	8413	1 to 4 years			
Women	2019	Northwest Territories	1199	1 to 4 years			
Women	2019	Nova Scotia	17066	1 to 4 years			
Women	2019	Nunavut	1724	1 to 4 years			
Women	2019	Ontario	286775	1 to 4 years			
Women	2019	Prince Edward Island	2789	1 to 4 years			
Women	2019	Quebec	172885	1 to 4 years			
Women	2019	Saskatchewan	30044	1 to 4 years			
Women	2019	Yukon	913	1 to 4 years			
Women	2020	Alberta	106745	1 to 4 years			
Women	2020	British Columbia	90912	1 to 4 years			
Women	2020	Manitoba	33437	1 to 4 years			
Women	2020	New Brunswick	13525	1 to 4 years			
Women	2020	Newfoundland and Labrador	8142	1 to 4 years			
Women	2020	Northwest Territories	1224	1 to 4 years			
Women	2020	Nova Scotia	17017	1 to 4 years			
Women	2020	Nunavut	1738	1 to 4 years			
Women	2020	Ontario	287916	1 to 4 years			
Women	2020	Prince Edward Island	2786	1 to 4 years			
Women	2020	Quebec	170251	1 to 4 years			
Women	2020	Saskatchewan	29450	1 to 4 years			
Women	2020	Yukon	934	1 to 4 years			
Women	2021	Alberta	103470	1 to 4 years			
Women	2021	British Columbia	90288	1 to 4 years			
Women	2021	Manitoba	33291	1 to 4 years			
Women	2021	New Brunswick	13234	1 to 4 years			
Women	2021	Newfoundland and Labrador	7825	1 to 4 years			
Women	2021	Northwest Territories	1170	1 to 4 years			
Women	2021	Nova Scotia	16806	1 to 4 years			
Women	2021	Nunavut	1832	1 to 4 years			
Women	2021	Ontario	285404	1 to 4 years			
Women	2021	Prince Edward Island	2797	1 to 4 years			
Women	2021	Quebec	166607	1 to 4 years			
Women	2021	Saskatchewan	28523	1 to 4 years			
Women	2021	Yukon	947	1 to 4 years			
Women	2022	Alberta	101947	1 to 4 years			
Women	2022	British Columbia	88875	1 to 4 years			
Women	2022	Manitoba	32902	1 to 4 years			
Women	2022	New Brunswick	13165	1 to 4 years			
Women	2022	Newfoundland and Labrador	7689	1 to 4 years			
Women	2022	Northwest Territories	1121	1 to 4 years			
Women	2022	Nova Scotia	16694	1 to 4 years			
Women	2022	Nunavut	1793	1 to 4 years			
Women	2022	Ontario	282273	1 to 4 years			
Women	2022	Prince Edward Island	2874	1 to 4 years			
Women	2022	Quebec	165720	1 to 4 years			
Women	2022	Saskatchewan	27948	1 to 4 years			
Women	2022	Yukon	896	1 to 4 years			
Women	2023	Alberta	102047	1 to 4 years			
Women	2023	British Columbia	87376	1 to 4 years			
Women	2023	Manitoba	33060	1 to 4 years			
Women	2023	New Brunswick	13281	1 to 4 years			
Women	2023	Newfoundland and Labrador	7723	1 to 4 years			
Women	2023	Northwest Territories	1080	1 to 4 years			
Women	2023	Nova Scotia	16588	1 to 4 years			
Women	2023	Nunavut	1703	1 to 4 years			
Women	2023	Ontario	282232	1 to 4 years			
Women	2023	Prince Edward Island	2897	1 to 4 years			
Women	2023	Quebec	166958	1 to 4 years			
Women	2023	Saskatchewan	27895	1 to 4 years			
Women	2023	Yukon	906	1 to 4 years			
Men	2014	Newfoundland and Labrador	2390	0 years			
Men	2015	Newfoundland and Labrador	2272	0 years			
Men	2016	Newfoundland and Labrador	2323	0 years			
Men	2017	Newfoundland and Labrador	2253	0 years			
Men	2018	Newfoundland and Labrador	2024	0 years			
Men	2019	Newfoundland and Labrador	1995	0 years			
Men	2020	Newfoundland and Labrador	1896	0 years			
Men	2021	Newfoundland and Labrador	1908	0 years			
Men	2022	Newfoundland and Labrador	1916	0 years			
Men	2023	Newfoundland and Labrador	1681	0 years			
Men	2014	Newfoundland and Labrador	13174	5 to 9 years			
Men	2015	Newfoundland and Labrador	13349	5 to 9 years			
Men	2016	Newfoundland and Labrador	13325	5 to 9 years			
Men	2017	Newfoundland and Labrador	13032	5 to 9 years			
Men	2018	Newfoundland and Labrador	12712	5 to 9 years			
Men	2019	Newfoundland and Labrador	12456	5 to 9 years			
Men	2020	Newfoundland and Labrador	11979	5 to 9 years			
Men	2021	Newfoundland and Labrador	11849	5 to 9 years			
Men	2022	Newfoundland and Labrador	11922	5 to 9 years			
Men	2023	Newfoundland and Labrador	12037	5 to 9 years			
Men	2014	Newfoundland and Labrador	13648	10 to 14 years			
Men	2015	Newfoundland and Labrador	13428	10 to 14 years			
Men	2016	Newfoundland and Labrador	13348	10 to 14 years			
Men	2017	Newfoundland and Labrador	13306	10 to 14 years			
Men	2018	Newfoundland and Labrador	13315	10 to 14 years			
Men	2019	Newfoundland and Labrador	13315	10 to 14 years			
Men	2020	Newfoundland and Labrador	13525	10 to 14 years			
Men	2021	Newfoundland and Labrador	13393	10 to 14 years			
Men	2022	Newfoundland and Labrador	13203	10 to 14 years			
Men	2023	Newfoundland and Labrador	13236	10 to 14 years			
Men	2014	Newfoundland and Labrador	14698	15 to 19 years			
Men	2015	Newfoundland and Labrador	14691	15 to 19 years			
Men	2016	Newfoundland and Labrador	14682	15 to 19 years			
Men	2017	Newfoundland and Labrador	14469	15 to 19 years			
Men	2018	Newfoundland and Labrador	14114	15 to 19 years			
Men	2019	Newfoundland and Labrador	13912	15 to 19 years			
Men	2020	Newfoundland and Labrador	13645	15 to 19 years			
Men	2021	Newfoundland and Labrador	13480	15 to 19 years			
Men	2022	Newfoundland and Labrador	14034	15 to 19 years			
Men	2023	Newfoundland and Labrador	14282	15 to 19 years			
Men	2014	Newfoundland and Labrador	15797	20 to 24 years			
Men	2015	Newfoundland and Labrador	15407	20 to 24 years			
Men	2016	Newfoundland and Labrador	15170	20 to 24 years			
Men	2017	Newfoundland and Labrador	15098	20 to 24 years			
Men	2018	Newfoundland and Labrador	15020	20 to 24 years			
Men	2019	Newfoundland and Labrador	14973	20 to 24 years			
Men	2020	Newfoundland and Labrador	15003	20 to 24 years			
Men	2021	Newfoundland and Labrador	14837	20 to 24 years			
Men	2022	Newfoundland and Labrador	15207	20 to 24 years			
Men	2023	Newfoundland and Labrador	15596	20 to 24 years			
Men	2014	Newfoundland and Labrador	15234	25 to 29 years			
Men	2015	Newfoundland and Labrador	15370	25 to 29 years			
Men	2016	Newfoundland and Labrador	15508	25 to 29 years			
Men	2017	Newfoundland and Labrador	15395	25 to 29 years			
Men	2018	Newfoundland and Labrador	15134	25 to 29 years			
Men	2019	Newfoundland and Labrador	14877	25 to 29 years			
Men	2020	Newfoundland and Labrador	14481	25 to 29 years			
Men	2021	Newfoundland and Labrador	14248	25 to 29 years			
Men	2022	Newfoundland and Labrador	14383	25 to 29 years			
Men	2023	Newfoundland and Labrador	15115	25 to 29 years			
Men	2014	Newfoundland and Labrador	15284	30 to 34 years			
Men	2015	Newfoundland and Labrador	15251	30 to 34 years			
Men	2016	Newfoundland and Labrador	15230	30 to 34 years			
Men	2017	Newfoundland and Labrador	15189	30 to 34 years			
Men	2018	Newfoundland and Labrador	14943	30 to 34 years			
Men	2019	Newfoundland and Labrador	14797	30 to 34 years			
Men	2020	Newfoundland and Labrador	14704	30 to 34 years			
Men	2021	Newfoundland and Labrador	14730	30 to 34 years			
Men	2022	Newfoundland and Labrador	14987	30 to 34 years			
Men	2023	Newfoundland and Labrador	15529	30 to 34 years			
Men	2014	Newfoundland and Labrador	15942	35 to 39 years			
Men	2015	Newfoundland and Labrador	15634	35 to 39 years			
Men	2016	Newfoundland and Labrador	15291	35 to 39 years			
Men	2017	Newfoundland and Labrador	15235	35 to 39 years			
Men	2018	Newfoundland and Labrador	15139	35 to 39 years			
Men	2019	Newfoundland and Labrador	15171	35 to 39 years			
Men	2020	Newfoundland and Labrador	15216	35 to 39 years			
Men	2021	Newfoundland and Labrador	15198	35 to 39 years			
Men	2022	Newfoundland and Labrador	15350	35 to 39 years			
Men	2023	Newfoundland and Labrador	15834	35 to 39 years			
Men	2014	Newfoundland and Labrador	17957	40 to 44 years			
Men	2015	Newfoundland and Labrador	17710	40 to 44 years			
Men	2016	Newfoundland and Labrador	17332	40 to 44 years			
Men	2017	Newfoundland and Labrador	16686	40 to 44 years			
Men	2018	Newfoundland and Labrador	16398	40 to 44 years			
Men	2019	Newfoundland and Labrador	16120	40 to 44 years			
Men	2020	Newfoundland and Labrador	15831	40 to 44 years			
Men	2021	Newfoundland and Labrador	15659	40 to 44 years			
Men	2022	Newfoundland and Labrador	15710	40 to 44 years			
Men	2023	Newfoundland and Labrador	16051	40 to 44 years			
Men	2014	Newfoundland and Labrador	20216	45 to 49 years			
Men	2015	Newfoundland and Labrador	19781	45 to 49 years			
Men	2016	Newfoundland and Labrador	19531	45 to 49 years			
Men	2017	Newfoundland and Labrador	19163	45 to 49 years			
Men	2018	Newfoundland and Labrador	18464	45 to 49 years			
Men	2019	Newfoundland and Labrador	17967	45 to 49 years			
Men	2020	Newfoundland and Labrador	17599	45 to 49 years			
Men	2021	Newfoundland and Labrador	17193	45 to 49 years			
Men	2022	Newfoundland and Labrador	16865	45 to 49 years			
Men	2023	Newfoundland and Labrador	16884	45 to 49 years			
Men	2014	Newfoundland and Labrador	21838	50 to 54 years			
Men	2015	Newfoundland and Labrador	21774	50 to 54 years			
Men	2016	Newfoundland and Labrador	21518	50 to 54 years			
Men	2017	Newfoundland and Labrador	21221	50 to 54 years			
Men	2018	Newfoundland and Labrador	20839	50 to 54 years			
Men	2019	Newfoundland and Labrador	20290	50 to 54 years			
Men	2020	Newfoundland and Labrador	19669	50 to 54 years			
Men	2021	Newfoundland and Labrador	19310	50 to 54 years			
Men	2022	Newfoundland and Labrador	19021	50 to 54 years			
Men	2023	Newfoundland and Labrador	18577	50 to 54 years			
Men	2014	Newfoundland and Labrador	21432	55 to 59 years			
Men	2015	Newfoundland and Labrador	21484	55 to 59 years			
Men	2016	Newfoundland and Labrador	21629	55 to 59 years			
Men	2017	Newfoundland and Labrador	21721	55 to 59 years			
Men	2018	Newfoundland and Labrador	21743	55 to 59 years			
Men	2019	Newfoundland and Labrador	21763	55 to 59 years			
Men	2020	Newfoundland and Labrador	21648	55 to 59 years			
Men	2021	Newfoundland and Labrador	21294	55 to 59 years			
Men	2022	Newfoundland and Labrador	21061	55 to 59 years			
Men	2023	Newfoundland and Labrador	20826	55 to 59 years			
Men	2014	Newfoundland and Labrador	20523	60 to 64 years			
Men	2015	Newfoundland and Labrador	20747	60 to 64 years			
Men	2016	Newfoundland and Labrador	20851	60 to 64 years			
Men	2017	Newfoundland and Labrador	21026	60 to 64 years			
Men	2018	Newfoundland and Labrador	21083	60 to 64 years			
Men	2019	Newfoundland and Labrador	21138	60 to 64 years			
Men	2020	Newfoundland and Labrador	21203	60 to 64 years			
Men	2021	Newfoundland and Labrador	21379	60 to 64 years			
Men	2022	Newfoundland and Labrador	21505	60 to 64 years			
Men	2023	Newfoundland and Labrador	21567	60 to 64 years			
Men	2014	Newfoundland and Labrador	17030	65 to 69 years			
Men	2015	Newfoundland and Labrador	17954	65 to 69 years			
Men	2016	Newfoundland and Labrador	18396	65 to 69 years			
Men	2017	Newfoundland and Labrador	18766	65 to 69 years			
Men	2018	Newfoundland and Labrador	19054	65 to 69 years			
Men	2019	Newfoundland and Labrador	19499	65 to 69 years			
Men	2020	Newfoundland and Labrador	19836	65 to 69 years			
Men	2021	Newfoundland and Labrador	20011	65 to 69 years			
Men	2022	Newfoundland and Labrador	20242	65 to 69 years			
Men	2023	Newfoundland and Labrador	20433	65 to 69 years			
Men	2014	Newfoundland and Labrador	11177	70 to 74 years			
Men	2015	Newfoundland and Labrador	11711	70 to 74 years			
Men	2016	Newfoundland and Labrador	12821	70 to 74 years			
Men	2017	Newfoundland and Labrador	13868	70 to 74 years			
Men	2018	Newfoundland and Labrador	14852	70 to 74 years			
Men	2019	Newfoundland and Labrador	15549	70 to 74 years			
Men	2020	Newfoundland and Labrador	16370	70 to 74 years			
Men	2021	Newfoundland and Labrador	16827	70 to 74 years			
Men	2022	Newfoundland and Labrador	17126	70 to 74 years			
Men	2023	Newfoundland and Labrador	17411	70 to 74 years			
Men	2014	Newfoundland and Labrador	7408	75 to 79 years			
Men	2015	Newfoundland and Labrador	7714	75 to 79 years			
Men	2016	Newfoundland and Labrador	7987	75 to 79 years			
Men	2017	Newfoundland and Labrador	8313	75 to 79 years			
Men	2018	Newfoundland and Labrador	8793	75 to 79 years			
Men	2019	Newfoundland and Labrador	9436	75 to 79 years			
Men	2020	Newfoundland and Labrador	9962	75 to 79 years			
Men	2021	Newfoundland and Labrador	10942	75 to 79 years			
Men	2022	Newfoundland and Labrador	11879	75 to 79 years			
Men	2023	Newfoundland and Labrador	12668	75 to 79 years			
Men	2014	Newfoundland and Labrador	4626	80 to 84 years			
Men	2015	Newfoundland and Labrador	4720	80 to 84 years			
Men	2016	Newfoundland and Labrador	4869	80 to 84 years			
Men	2017	Newfoundland and Labrador	5041	80 to 84 years			
Men	2018	Newfoundland and Labrador	5240	80 to 84 years			
Men	2019	Newfoundland and Labrador	5397	80 to 84 years			
Men	2020	Newfoundland and Labrador	5714	80 to 84 years			
Men	2021	Newfoundland and Labrador	6052	80 to 84 years			
Men	2022	Newfoundland and Labrador	6230	80 to 84 years			
Men	2023	Newfoundland and Labrador	6565	80 to 84 years			
Men	2014	Newfoundland and Labrador	2180	85 to 89 years			
Men	2015	Newfoundland and Labrador	2232	85 to 89 years			
Men	2016	Newfoundland and Labrador	2289	85 to 89 years			
Men	2017	Newfoundland and Labrador	2382	85 to 89 years			
Men	2018	Newfoundland and Labrador	2506	85 to 89 years			
Men	2019	Newfoundland and Labrador	2661	85 to 89 years			
Men	2020	Newfoundland and Labrador	2741	85 to 89 years			
Men	2021	Newfoundland and Labrador	2856	85 to 89 years			
Men	2022	Newfoundland and Labrador	2918	85 to 89 years			
Men	2023	Newfoundland and Labrador	3009	85 to 89 years			
Men	2014	Newfoundland and Labrador	885	90 years and older			
Men	2015	Newfoundland and Labrador	904	90 years and older			
Men	2016	Newfoundland and Labrador	985	90 years and older			
Men	2017	Newfoundland and Labrador	960	90 years and older			
Men	2018	Newfoundland and Labrador	960	90 years and older			
Men	2019	Newfoundland and Labrador	987	90 years and older			
Men	2020	Newfoundland and Labrador	1008	90 years and older			
Men	2021	Newfoundland and Labrador	1028	90 years and older			
Men	2022	Newfoundland and Labrador	1091	90 years and older			
Men	2023	Newfoundland and Labrador	1128	90 years and older			
Women	2014	Newfoundland and Labrador	2217	0 years			
Women	2015	Newfoundland and Labrador	2179	0 years			
Women	2016	Newfoundland and Labrador	2140	0 years			
Women	2017	Newfoundland and Labrador	2122	0 years			
Women	2018	Newfoundland and Labrador	1940	0 years			
Women	2019	Newfoundland and Labrador	1892	0 years			
Women	2020	Newfoundland and Labrador	1804	0 years			
Women	2021	Newfoundland and Labrador	1788	0 years			
Women	2022	Newfoundland and Labrador	1853	0 years			
Women	2023	Newfoundland and Labrador	1590	0 years			
Women	2014	Newfoundland and Labrador	12443	5 to 9 years			
Women	2015	Newfoundland and Labrador	12567	5 to 9 years			
Women	2016	Newfoundland and Labrador	12614	5 to 9 years			
Women	2017	Newfoundland and Labrador	12444	5 to 9 years			
Women	2018	Newfoundland and Labrador	12039	5 to 9 years			
Women	2019	Newfoundland and Labrador	11720	5 to 9 years			
Women	2020	Newfoundland and Labrador	11463	5 to 9 years			
Women	2021	Newfoundland and Labrador	11337	5 to 9 years			
Women	2022	Newfoundland and Labrador	11354	5 to 9 years			
Women	2023	Newfoundland and Labrador	11516	5 to 9 years			
Women	2014	Newfoundland and Labrador	12854	10 to 14 years			
Women	2015	Newfoundland and Labrador	12656	10 to 14 years			
Women	2016	Newfoundland and Labrador	12683	10 to 14 years			
Women	2017	Newfoundland and Labrador	12540	10 to 14 years			
Women	2018	Newfoundland and Labrador	12510	10 to 14 years			
Women	2019	Newfoundland and Labrador	12509	10 to 14 years			
Women	2020	Newfoundland and Labrador	12513	10 to 14 years			
Women	2021	Newfoundland and Labrador	12483	10 to 14 years			
Women	2022	Newfoundland and Labrador	12538	10 to 14 years			
Women	2023	Newfoundland and Labrador	12512	10 to 14 years			
Women	2014	Newfoundland and Labrador	13798	15 to 19 years			
Women	2015	Newfoundland and Labrador	13621	15 to 19 years			
Women	2016	Newfoundland and Labrador	13310	15 to 19 years			
Women	2017	Newfoundland and Labrador	13266	15 to 19 years			
Women	2018	Newfoundland and Labrador	13181	15 to 19 years			
Women	2019	Newfoundland and Labrador	13061	15 to 19 years			
Women	2020	Newfoundland and Labrador	12854	15 to 19 years			
Women	2021	Newfoundland and Labrador	12636	15 to 19 years			
Women	2022	Newfoundland and Labrador	12854	15 to 19 years			
Women	2023	Newfoundland and Labrador	13145	15 to 19 years			
Women	2014	Newfoundland and Labrador	14916	20 to 24 years			
Women	2015	Newfoundland and Labrador	14346	20 to 24 years			
Women	2016	Newfoundland and Labrador	14183	20 to 24 years			
Women	2017	Newfoundland and Labrador	13853	20 to 24 years			
Women	2018	Newfoundland and Labrador	13613	20 to 24 years			
Women	2019	Newfoundland and Labrador	13628	20 to 24 years			
Women	2020	Newfoundland and Labrador	13660	20 to 24 years			
Women	2021	Newfoundland and Labrador	13534	20 to 24 years			
Women	2022	Newfoundland and Labrador	13793	20 to 24 years			
Women	2023	Newfoundland and Labrador	14128	20 to 24 years			
Women	2014	Newfoundland and Labrador	14972	25 to 29 years			
Women	2015	Newfoundland and Labrador	14962	25 to 29 years			
Women	2016	Newfoundland and Labrador	14722	25 to 29 years			
Women	2017	Newfoundland and Labrador	14655	25 to 29 years			
Women	2018	Newfoundland and Labrador	14307	25 to 29 years			
Women	2019	Newfoundland and Labrador	14026	25 to 29 years			
Women	2020	Newfoundland and Labrador	13488	25 to 29 years			
Women	2021	Newfoundland and Labrador	13281	25 to 29 years			
Women	2022	Newfoundland and Labrador	13245	25 to 29 years			
Women	2023	Newfoundland and Labrador	13778	25 to 29 years			
Women	2014	Newfoundland and Labrador	15954	30 to 34 years			
Women	2015	Newfoundland and Labrador	15769	30 to 34 years			
